Material,Sintering,Structure,er,Qf,f,Tcf,Reference
Zn 2-xSiO 4-x+25 mol% B 2O3,900,Composite,6,70000,,-22,38
CaO-B2O3-SiO 2,830,Glass,6,5000,10,,39
Al 2O3+50 vol% ZBS glass,850,Composite,6,16950,12.5,,31
Al 2O3+50 vol% ZBS glass,750,Composite,6,9200,12.4,,31
K0.67 Ba0.33 Ga1.33 Ge2.67 O8,970,Monoclinic P2 1/a,6,134000,13,-22,7
KxBa1-xGa2-xGe2+xO8 (x=0.67),910,Monoclinic C2/m,6,104500,,-20,7
Na0.8 Ca0.2 Al 1.2 Si 2.8 O8,,,6,17600,,0,40
MgO-Al 2O3-B2O3-SiO 2-TiO2,,Composite,6.1,4200,,,41
- Mg2P 2O7,1150,"Throtveitite type
Monoclinic B2 1/c",6.1,38180,,-746,42
CaWO4 +0.5 wt% B 2O3,1050,Sheelite Tetragonal I4 1/a,6.1,38100,,-47,"43,44"
(Mg0.9 Ni 0.1 ) 2Al 4Si 5O18,1440,Orthorhombic Cccm,6.1,99100,,-32,45
MgO-B2O3-SiO 3 glass ceramic,,Glass,6.1,11300,,,46
K0.6 Ba0.4 Ga1.4 Ge2.6 O8,970,Monoclinic P2 1/a,6.1,120900,13,-23,7
Mg2B2O5,1310,Monoclinic P2 1/c,6.2,32000,,-45,47
KGaGe3O8,970,Monoclinic P21/a,6.2,19800,,-21,35
Mg2Al 4Si 5O18 cordierite,1440,Orthorhombic Cccm,6.2,40000,,-25,34
50 wt% Al 2O3+50 wt% ( SiO 2 -B2O3-Al 2O 3),875,Composite,6.2,11400,,-35,23
45 wt% Al 2O3+55 wt% ( SiO 2 -B2O3-Al 2O 3),875,Composite,6.3,11500,,-33,23
AlSbO4,1100,Tetragonal P4 2/mnm,6.3,3200,4,,48
CaO-B2O3-SiO 2+4 wt% La2O3-B2 O3,850,Glass,6.3,10000,,,49
Al 2 W3-xMo xO12 (x=0),1100,Orthorhombic Pbcn,6.3,9600,,-67,33
Al 2 W3-xMo xO12 (x=2),810,Orthorhombic Pbcn,6.3,36500,,-55,33
Al 2 W3-xMo xO12 (x=3),810,Monoclinic P2 1/a,6.4,49200,,-41,33
55 wt% Al 2O3+45 wt% ( SiO 2 -B2O3-Al 2O 3),900,Composite,6.4,13000,,-58,23
Mg3(VO4) 2,950,Orthorhombic Cmca,6.4,48800,,-83,50
K0..9 Ba0..1 Ga1.1 Ge2.9 O8,1040,Monoclinic C2/m,6.4,94700,12,-23,35
Y2BaCu 0.75 Ni 0.25 O5,,Orthorhombic,6.4,8350,13.5,-40,51
K0.4 Ba0.6 Ga1.6 Ge2.4 O8,1040,Monoclinic P2 1/a,6.4,94700,12,-23,35
BaAl 2Si 2O8,1475,Hexagonal P6/mmm,6.4,44800,,-47,52
Ca0.99 Mg0.01 SiO3,1290,"Wollastonite
Monoclinic P2 1/a",6.5,62400,,-43,53
Mg2GeO4+3 wt% B 2O3,1200,Cubic Fd3m Olivine type,6.5,91000,,-28,54
ZnO-B2O3-SiO 2 glass (60.3:27.1:12.6),,Glass,6.5,4500,17.1,-10,31
