Material,Sintering,Structure,er,Qf,f,Tcf,Reference
Ba3Ti 5Nb 6O28+5 wt% B 2O3,900,Monoclinic P2 1/c,15.9,14000,,-13,407
"(0.4Bi 2O3-La2O3-MgO-TiO2)-
0.6La(Mg0.5 Ti 0.5 )O3",900,Composite,15.9,14300,,35,408
BaNb 2-xTa xP 2O11 (x=1.5),1250,Rhombohedral R-3c,15.9,13200,,-25,350
"75 wt% ZnNb 2O6- TiO2+25 wt% (SiO 2- B2O3—
Al 2O3)",875,Composite,15.9,15000,,-20,23
Gd 2BaCuO5,,Orthorhombic Pbnm,16,3320,11.05,-27,342
Mn 4Nb 2O9,,Corundom type trigonal P-3c1,16,50000,,,297
3CaO-2ZnO-Ta2O5-TiO2,1325,Composite,16,34500,6.2,-49,206
NdYBaZn 0.45 Cu 0.55 O5,1250,Orthorhombic Pnma,16,100270,,,409
Ba10Ta7.04 Sn 1.2O30,,Trigonal P-3m1,16,30000,,20,410
Co 4Nb 2O9,1200,Corundom Trigonal P-3c1,16,5000,,-10,249
(Mg0.95 Zn 0.05)TiO 3,1320,Ilmenite Trigonal R-3,16,210000,,-60,411
Y1.5 Sm0.5 BaZnO5,,Orthorhombic Pbnm,16,120000,-32,,412
Ba2-2xSr 2xSmSbO6 (x=0.1),1500,Perovskite,16,93000,,-50,413
Sr 2SmSbO 6,1550,Perovskite,16,93000,,-50,413
(1-y)Li 3NbO4-+yLi 2SnO3 (y=0.7),,Composite,16,75300,,3,363
Tm2BaZnO5,,Orthorhombic Pnma,16.1,8040,9.9,-20,51
Sm2Ba(Cu .995 Co .005 )O5,,Orthorhombic Pbn,16.1,87800,10,-8,293
(Li 1/2 Nd 1/2 )WO4,775,Tetragonal I4 1/n,16.1,4210,,142,382
MgTiO 3,1350,Ilmenite Trigonal R-3,16.1,289400,,-54,415
(Mg0.095 Co 0.05 ) 1.8 Ti 1.1 O4,1390,Spinel cubic Fd3m,16.1,207500,10.7,-53,416
0.4LiFe5O8-0.6Li 2MgTi 3O8,1050,Disordered spinel,16.1,28500,,,417
Nd 2BaZn 0.5 Cu 0.5 O5,,Orthorhombic Pnma,16.2,36570,,-13,409
Zn 2Te3O8,620,Monoclinic C2/c,16.2,66000,4.9,-60,418
(Mg.0.95 Ca0.05 )TiO 3+3 mol% V 2O5,1100,Ilmenite Trigonal R-3,16.2,62000,,50,419
Er 2BaZnO5,1300,Orthorhombic Pnma,16.3,6836,9.9,-28,51
ErAlO 3,1650,"Perovskite Orthorhombic
Pbnm",16.3,44200,10,-40,399
BaO-0.33MgO-0.35WO 3-0.32TiO 2,1500,Perovskite hexagonal,16.3,77000,,-10,334
Ba3MgNb 2-xSb xO9 (x=1),,Perovskite,16.3,33400,6.7,-4,340
"0.9(Mg0.95 Zn 0.05 ) 2(Ti 0.8 Sn 0.2 )O4-
0.1(Ca0.8Sr 0.2 )TiO 3 +5.3LiF-Fe2O3-V 2O5",950,Composite,16.3,30800,8.3,-10,420
(Li 0.5 Yb 0.5 )MoO4,820,Tetragonal Scheelite,16.3,6350,,53,421
Pb 2WO5,520,Monoclinic,16.4,14800,7.6,-95,414
Co 4Nb 2O9,1100,Corundom type Trigonal P-3c1,16.4,5000,,-11,321422
Li 3NbO4,1150,Cubic I-43m,16.4,47100,10,-45,423424
"0.8Li 2Zn 3Ti 4O12-0.2Li 2TiO3+2 wt% 0.1.5B 2O3-
0.6CuO",925,composite,16.4,69000,,-42,425
(Mg1-xZn x) 1.8 Ti 1.1 O4 (x=0.06),1360,Cubic Fd3m,16.5,210700,,-62,398
Ca(Ta2-xNb x)O6 (x=1.4),1425,Orthorhombic Pbcn,16.5,84080,,-49,406
0.5BaMoO 4-0.5TiO 2,1285,Composite,16.5,25200,,46,205
ZnW1-xTe xO4 (x=0.0),1100,Wolframite P2 1/n,16.5,20500,,-70,187
Y2Ba0.7 Sr 0.3 Cu 0.5 Zn 0.5 O5,,Orthorhombic Pnma,16.5,17670,10.1,-2,351
Y2Ba0.7 Sr 0.3 Cu 0.15 Zn 0..85 O5,,Orthorhombic Pnma,16.5,23640,10.5,-18,351
Sm2BaCuO5,,Orthorhombic Pnma,16.5,53200,9.9,-5,293
Mg3Sm4 Al 44O75,1680,Magnetoplumbite,16.5,11000,,95,132
MgTiO 3 (slow cooled 1o / min),1350,Ilmenite trigonal R-3,16.5,220000,,-55,426
0.84Ba(Mg1/2 W1/2 )O3- -0.16BaTiO 3,1500,Perovskite hexagonal,16.6,12000,,-11,334
CoCu 2Nb 2O8,985,Not available,16.6,36800,,-37,286
(Mg0.95 Ca0.05 )TiO 3+5 mol% V 2O5,1000,Ilmenite Hexagonal R-3,16.6,13700,,-50,419
ErNbO4,1500,Monoclinic fergusonite,16.6,43900,,-64,326
Li 3-3xMg4xNb (1-x) O4 (x=0.2),1300,,16.6,85160,10,-32,424
SrLaAlO 4,,Tetragonal I4/mmm,16.7,149400,,-32,389
Mg(Ti 0.95 Sn 0.05 )O3,,Ilmenite Trigonal R-3,16.7,275000,10.3,-53,396
Ba(Mg1/2 W1/2 )O3,1500,Perovskite cubic Fm3m,16.7,42000,,34,334
0.6Ba(Mg1/2 W1/2 )O3- -0.4BaTiO 3,1500,Perovskite hexagonal,16.7,15000,,12,334
Y2Ba0.7 Sr 0.3 ZnO5,,Orthorhombic Pnma,16.7,4920,10.8,-35,351
ZnCu 2Nb 2O8,900,,16.7,41000,,-77,427
Sm2BaCu 0.99 Co 0.01 O5,,Orthorhombic Pnma,16.8,90700,9.9,-9,51293
Y2Ba0.7 Sr 0.3 Cu 0.1 Zn 0..9 O5,,Orthorhombic Pnma,16.8,23600,10.5,-21,351
"70 wt% (La2O3-B2O3-TiO2 in 20:60:20 mol%)
+30 wt % BaNd 2Ti 5O14",800,Composite,16.8,5900,7.1,109,372
(Mg0.95 Co 0.05 )TiO 3,,Ilmenite Trigonal R-3,16.8,230000,10,-54,428
1-xCeO2-xSm2O3 (x=0.25),1650,Cubic flurite Fm3m,16.8,29650,,-56,365
Li 3-3xMg4xNb (1-x) O4 (x=1/3),1300,,16.8,79600,10,-22,424
[Mg0.5Zn 0.5 ) 0.95 Co 0.05] 2TiO4 +8 wt% BCB,925,Composite,16.8,28000,,-29,429
(Na0.5 Bi 0.5 ) 0.4 Ca0.6MoO4,800,Tetragonal scheelite,16.8,31800,,-17,309
0.36Ba5Nb 4O15-0.64BaWO4,1100,Composite,16.9,56700,,-4,430
Co 2La4Ti 3Si (4-x) O22-d (x=0),1275,Perrierite monoclinic P2 1/a,16.9,35100,4.73,-164,431
(1-x)CeO2-xEu 2O3 (x=0.85),1600,Cubic flurite Fm3m,16.9,64700,,-39,365
Sm2BaCu 0.25 Zn 0.75 O5,1300,Orthorhombic Pnma,16.9,42200,-4.6,,359
0.4Li 2Zn 3Ti 4O12-0.6Ba3(VO4) 2,950,Composite,16.9,51300,,3,432
3CaO-2ZnO-Ta2O5-TiO2,1400,Mixture,17,30000,6.6,-47,206
CeO2-0.5WO 3-0.5TiO 2,1130,Mixture,17,45500,,7,433
Mg5Ta4O15,1550,"Psuedo-brookite Orthorhombic
Cmcm",17,14400,7.2,-15,295
BaNb 2O6,,"Columbite Orthorhombic
C222 1",17,2600,7.01,,434
Ba(Mg1/2 W1/2 )O3,1550,Perovskite Fm3m,17,57000,,-34,334384
Ca5Ta2 HfO12,1700,"Perovskite Orthorhombic
Pnma",17,18000,5.9,-32,435
MgTiO 3,,Ilmenite Trigonal R-3,17,166400,,-50,436437
Mg0.95 Co 0.05 TiO3,1200,Ilmenite Trigonal R-3,17,170000,9.4,-40,438
ErAlO 3,,"Perovskite Orthorhombic
Pbnm",17,44200,10,-40,399
Bi 2O3-4MoO 3,600,Mixture,17,9300,,-160,439
Ba2TeO5,950,Monoclinic,17,49600,12,-124,252
"30 vol% Al 2O3+BaO-ZnO-SrO-CaO-Nd 2O3-
TiO2-B2O3-SiO 2 glass",900,Composite,17,800,,-2,440
Nd 2Sn 2O7,1550,Cubic,17,33100,,-55,441
Dy2BaZnO5,1320,Orthorhombic,17.1,29669,9.9,-2,51
CuNb 2O6,1000,Columbite Pbcn,17.1,7100,7.4,-45,434
BaO-0.34 MgO-0.35 WO 3-0.31TiO 2,1500,Perovskite hexagonal,17.1,75000,,-8,334
Eu 2BaCuO5,,Orthorhombic Pbnm,17.1,9820,,-25,442
LaSrAlO 4,1450,Tetragonal K 2NiF 4 type,17.1,30770,10.77,3,386
(Mg0.95 Zn 0.05)TiO 3,1300,Ilmenite trigonal R-3,17.1,264000,7,-40,443
NdYBaZn 0.45 Cu 0.55 O5,,,17.1,100300,-30,,409
Ba(Ni1/2 W1/2 )O3,1450,Perovskite cubic Fm3m,17.1,36300,13.3,-68,384
In 2O3-WO3-TiO2,1175,Multphase,17.2,5100,6.4,-68,356
Gd 2BaZnO5,1280,Orthorhombic Pbnm,17.2,2580,9.8,-27,51
Eu 2BaCu 0.25Zn 0.75 O5,,Orthorhombic Pbnm,17.2,57920,,-29,442
Ho 2BaZnO5,1300,Orthorhombic Pbnm,17.2,6200,9.8,-23,51
Li 3(Mg0.92 Zn 0.08 )2NbO6,1120,Orthorhombic Fddd,17.2,142300,,-23,369
CaNb 2O6,1350,Columbite Pbcn,17.3,49600,6.9,-53,434
Mg3Eu 4Al 44O75,1680,Magnetoplumbite,17.3,11000,,147,132
Li 2MgTiO 4,1360,Rock salt,17.3,97300,9.8,-27,444
1-xCeO2-xTm2O3 (x=0.25),1650,Cubic flurite Fm3m,17.3,27850,,-40,365
Co 2La4Ti 3Si (4-x) O22-d (x=0.05),1300,Perrierite monoclinic P2 1/a,17.3,46600,4.75,-177,431
MgTiO 3 (Pecchini mehod)+0.1 mol% Cr,1150,Ilmenite Trigonal R-3,17.3,136400,,,445
Co 2La4Ti 3Si (4-x) O22-d (x=0.1),1300,Perrierite monoclinic P2 1/a,17.4,48700,4.68,-155,431
Mg(Sn 0.05 Ti 0.95 )O3,1390,Trigonal Ilmenite R-3H,17.4,322000,,-54,446
Ba8Zn(Nb 6-xSb x)O24 (x=2.4),1425,Not available,17.4,9800,,-3,447
LuNbO4,1500,Monoclinic fergusonite I2,17.4,56600,,-64,326
Ba(Mg0.33 Ta0.13 Ti 0.267 W0.267 )O3,1560,"Perovskite Hexagonal
P-3m1",17.4,43780,7.1,-29,388
CaTeO3,840,,17.4,49300,10,,200
MgTi 2O5,1500,"Orthorhombic Psuedobrookite
Bbmm",17.4,47000,,-66,371
MgTiO 3 (Chemical Pecchini mehod),1150,"Ilmenite, trigonal R-3H",17.4,166400,,,445
0.5Li 2Zn 3Ti 4O12-0.5Ba3(VO4) 2,950,Composite,17.4,56500,,-5,432
0.6Li 2Zn 3Ti 4O12-0.4Ba3(VO4) 2,975,Compposite,17.5,73100,,-16,432
BaTe4 O9,500,Monoclinic,17.5,54700,,-90,252448
0.96MgTiO 3-0.036SrTiO 3+4 wt% CuO,1070,Composite,17.5,25100,,0,449
0.74CaWO 4-0.26TiO 2,1250,Composite,17.5,27000,,0,450
(Zn 1-xCu x) 2TiO4 (x=0.005),1060,Cubic Fd3m,17.5,7300,,,451
0.95MgTiO 3-0.05CaTiO 3+5wt% B 2O3,1050,Composite,17.5,22000,,-2,452
"0.8Li 2Zn 3Ti 4O12-0.2Li 2TiO3+2wt% 0.4B 2O3-
0.6CuO",925,Composite,17.5,71000,,-44,425
Mg(Zr 0.05 Ti 0.95 )O3+1 wt% B 2O3,1270,Ilmenite trigonal R-3,17.6,108000,,2,453
DyAlO 3,1650,"Perovskite Orthorhombic
Pnma",17.6,38000,10,-34,399
Nd 2BaCuO5,,Tetragonal I4/mcm,17.6,2200,,-18,409
ZnWO4,1100,Monoclinic P2/c,17.6,65000,,-60,138
BaaMgWO 6,,Perovskite cubic Fm3m,17.6,45200,10.1,,384
Co 2La4Ti 3Si (4-x) O22-d (x=0.02),1275,Perrierite monoclinic P2 1/a,17.6,40800,4.73,-174,431
Ba(Ni1/2 W1/2 )O3,1450,Perovskite cubic Fm3m,18.1,52000,8.22,-45,472
"0.92(Mg0.95 Co 0.05 ) 2TiO4-0.08(Ca0.8Sr 0.2 )TiO 3
+0.5 wt% B2O3",1200,Composite,18.1,95000,9.5,-5,473
0.91(Mg0.97 Co 0.03 )2(Ti 0.95 Sn 0.05 )O4-0.09CaTiO 3,1390,Composite,18.1,87600,,4,474
Sr 1-xCa xLaAlO 4 (x=0.4),1475,Tetragonal I4/mmm,18.1,150500,,-26,475
Mg(Zr 0.05 Ti 0.95 )O3,1420,Ilmenite Trigonal R-3,18.1,380000,,-50,476
0.85Li 2TiO3-0.5Li 2WO4,950,Mixture,18.1,81000,,2,477
CaNb 2O6,1400,Orthorhombic columbite Pbcn,18.1,50000,,-54,478
(Zn 1-xCu x) 2TiO4 (x=0.05),1060,Cubic Fd3m,18.2,7500,,-82,451
Mg(Zr 0.05 Ti 0.95 )O3+1.5 wt% CuO,1300,Ilmenite trigonal R-3,18.2,223000,,-2,479
(Zn 0.95Mn 0.05) 2TiO4,1180,Cubic Fd3m,18.2,9550,7.5,-200,461
Mg1+ δ T iO 3+ δ (δ=0.03),1400,Ilmenite Trigonal R-3,18.2,326600,,-50,480
CaSmAlO4,,"K2NiF 4
I4/mmm",18.2,51060,,-3,481
CaNdAlO4,,"K2NiF 4
I4/mmm",18.2,17980,,-52,481
"0.9(Mg0.95 Zn 0.05 ) 2(Ti 0.8 Sn 0.2 )O4-
0.1(Ca0.8Sr 0.2 )TiO 3",950,Spinel+Perovskite Composite,18.2,49100,8.1,15,420
SrLa2 Al 2O7,,Tetragonal R-P phase,18.2,71700,,-22,482
0.995MgO-0.005BaO-TiO2,1320,Cubic Fm3m,18.3,18500,9.83,,483
Mg3Gd 4 Al 44O75,1680,Magnetoplumbite,18.3,4800,,175,132
Mg3Tb 4 Al 44O75,1680,Magnetoplumbite,18.3,5900,,200,132
0.5ZnNb 2O6-0.5Zn 3Nb 2O8-12 wt% ZnCu 3B2O5,875,Orthorhombic mixture,18.3,39750,,-88,484
Sr(Ni 1/2 W1/2 )O3,1570,Perovskite cubic Fm3m,18.3,56000,8.4,-50,472
(1-x)CeO2-xNd 2O3 (x=0.7),1600,Cubic flurite Fm3m,18.3,44700,,-62,365
Mg1+ δ T iO 3+ δ (δ=0.02),1400,Ilmenite Hexagonal R-3,18.3,357600,,-50,480
0.93(Mg0.95 Zn 0.05 ) 1.8 Ti 1.1 O4-0.07CaTiO 3,1375,Composite,18.3,96000,,-5,485
0.93(Mg0.97 Zn 0.03 )(Ti 0.95 Sn 0.05 )O4 -0.07CaTiO 3,1390,Cubic spinel,18.3,94700,,-4,379
0.91Mg2TiO4-0.1(Ca0.8 Sr 0.2 )TiO 3,1300,Composite,18.3,90500,9.5,0,486
0.5Zn 3Nb 2O8-0.5ZnNb 2O6+12 wt% ZnCuB 2O5,875,Composite,18.3,39750,5.89,-88,484
0.8MgNb 2O6-0.2CaTiO 3,1300,Composite,18.4,73700,,-45,487
GdAlO 3,1650,Perovskite Orthorhombic,18.4,11000,10,-54,399
"(Zr 0.8 Sn 0.2 )TiO 4 +10 wt%BaO-B2 O3-SiO 2 -Li 2O-
CuO",950,Composite,18.4,10500,,0,459
BaNd 2Ti 5O14+La2O3-B2 O3-TiO2,750,Composite,18.4,6100,,4,488
0.93(Mg0.95 Co 0.05 )TiO 4-0.07SrTiO3,,Composite,18.4,102200,9.5,1,489
0.88Mg2TiO4-0.12CaTiO 3 +4 wt% ZnNb 2O6,1360,Composite,18.4,31000,6,0,490
Sm2BaZnO5,,Orthorhombic Pnma,18.5,35500,9.5,-6,491
Sr 1+xLa1-xAl 1-xTi xO4,1500,,18.5,95000,,-9,492
(1-x)CeO2-xSm2O3 (x=0.85),1600,Cubic flurite Fm3m,18.5,44700,,-55,365
(Zn 1-xCu x) 2TiO4 (x=0.2),1060,Cubic Fd3m,18.5,7400,,-15,451
(Mg0.7 Zn 0.03 ) 0.95 Co 0.05 TiO3+7 wt% BaCu(B 2O5),950,Composite,18.5,35000,,-51,493
Mg0.95 Zn 0.05 Ti 2O5,1450,Orthorhombic Bbmn,18.5,45000,,-41,494
"0.2Li 2Zn 3Ti 4O12-0.8Li 2TiO3+3wt% 0.4B 2O3-
0.6CuO",925,Cubic composite,18.5,42000,,-38,425
Li 2Zn 3Ti 4O12+2 wt% BCB,900,Cubic Fd-3m,18.5,31100,,-36,495
Mg0.95 Co 0.05 Ti 2O5,1425,Orthorhombic Bbmn,18.6,68000,,-39,494
(Li 0.5 Er 0.5 )MoO4,800,Tetragonal Scheelite,18.6,10650,,186,421
(Ca1+xSm1-x)(Al 1-xTi x)O4 x=0.02,1450,"K2NiF 4
I4/mmm",18.6,74600,,-11,496
Co 2La4Ti 3Si (4-x) O22-d (x=0.5),1250,Perrierite monoclinic P2 1/a,18.6,20700,4.6,-131,431
0.77(0.5ZnAl 2O4-0.5TiO 2)-0.23MgTiO 3,1390,Composite,18.7,190000,,-2,360
DyTiNb xTa1-xO6 (x=0.05),1575,Orthorhombic Pbcn,18.7,31000,5.7,-28,497
0.96MgTiO 3-0.036SrTiO 3+4.5 Wt% CuO,1070,Ilmenite Trigonal R-3,18.7,19600,9,,449
(1-x)(Mg0.95 Ni 0.05 )TiO 3-xSrTiO 3 x=0.01,1300,Composite,18.7,105000,,-38,498
Nd 2BaZn 045Cu 0.55 O5,1250,Tetragonal+Orthrohombic,18.8,44100,,-20,409
SmNbO4,1250,Orthorhombic Ima2,18.8,56300,,-40,326
CaNb 2O6,1350,Orthorhombic Pbcn,18.8,49600,,-53,499
[(Mg0.5Zn 0.5 ) 0.95 Co 0.05] 2TiO4,1225,Cubic spinel Fd3m,18.8,206000,,-21,500
"0.9MgTiO 3-0.1CaTiO 3 +5wt% Li 2O-B2 O3-
SiO 2",950,Composite,18.8,19000,,10,501
Mg0.95 Ni 0.05 Ti 2O5,1425,Orthorhombic bbmn,18.8,50000,,-48,494
(Li 0.5 Y0.5 )MoO4,780,Tetragonal Scheelite,18.8,10400,,193,421
(1-x)Li 3Bi 2P 3O12-xTiO 2 (x=0.45),750,Monoclinic P2 1/m,18.9,13700,,-43,403
CaYAlO 4,1450,"K2NiF 4 type Tetragonal
I4/mmm",18.9,39980,,6,481
Sr 1-xCa xNdAlO 4 (x=0.6),1450,K2NiF 4 structure,18.9,91300,,-13,502
Sr 0.6 Ca0.4 LaAlO4 + 0.15 wt% B 2O3,1300,K2NiF 4 structure,18.9,63000,,-25,503
(Ca1+xSm1-x)(Al 1-xTi x)O4 x=0,1400,"K2NiF 4
I4/mmm",19,54600,,-15,496
Sr 2AlNbO6 (oxygen atm),1550,Perovskite,19,16000,8.3,-5,504
YTiNbO6,1400,Aschenite Orthorhombic Pbcn,19,8820,8.2,-45,505
Sm0.1 Y0.9 TiNbO6,1420,Aschenite Orthorhombic Pbcn,19,11700,,-42,506
Zn 0.6 Mg0.4 TiO3+ 5 wt% B-Si-Zn-K glass,950,Trigonal R-3,19,18950,,,507
ZnTiO 3,1100,Trigonal R-3,19,30000,10,-55,508
0.96MgTiO 3-0.036SrTiO 3+2 Wt% B 2O3,1170,Composite,19,75300,9,-9,449
Bi 2Mo 3O12,610,Monoclinic P2 1/n,19,21800,7.6,-215,439
(Zn 0.95 Co 0.05 ) 2TiO4,1180,Cubic spinel Fd3m,19,2100,7.3,,461
Ba2-2xSr 2xSmSbO 6 (x=0.4),1500,Perovskite,19,30000,,-40,413
Ba(Zn 1/2 W1/2 )O3,1250,Cubic perovskite Fm3m,19,14000,,-35,509
Ca1-3x/2 La x(Mg1/2 W1/2 )O3 (x=0.02),1375,"Complex perovskite
Monoclinic",19,55000,,-75,510
"0.4Li 2Zn 3Ti 4O12-0.6Li 2TiO3+3wt% 0.4B 2O3-
0.6CuO",900,Composite,19,29000,,-38,425
(Nd 0.99 Co 0.015 ) 1.02 Nb 0.988 O4,1250,Monoclinic fergusonite I2/a,19,43300,,-48,511
Ca9Sm2 W4O24,1450,Tetragonal scheelite 141/a,19,3100,,,470
(BaxMg1-x)(Sn 0.0 5Ti 0.95 )O3 x=0.01,1210,Ilmenite type Trigonal,19,120000,,-42,512
0.75ZnWO 4-0.25TiO 2+0.5 wt% Li 2CO3-H 3BO3,950,Composite,19,13500,,-11,528
(Nd 0.99 Mn 0.015 ) 1.02 Nb 0.988 O4,1250,Monoclinic fergusonite I2/a,19.1,38600,,-43,511
(Nd 0.99 Ca0.015 ) 1.02 Nb 0.988 O4,1250,Monoclinic fergusonite I2/a,19.1,35300,,-38,511
(1-x)MgTiO 3-xCa0.8 Sr 0.2 TiO3 (x=0.02),,Composite,19.1,110600,,-38,513
Tb(Ti 1/2 W1/2 )O4,1375,Tetragonal Scheelite,19.1,5900,6.6,-6,356
0.99MgO-0.01BaO-TiO2,1320,Composite,19.1,21500,9.53,,483
"80 wt% ZnNb 2O6- TiO2+20 wt% (SiO 2- B2O3—
Al 2O3)",875,Composite,19.1,9600,,9,23
0.25Li 5FeO8-0.75Li 2ZnTi 3O8,1050,Composite,19.1,11770,6.84,-60,514
Nd(Mg0.47 Ba0.03 Sn 0.5 )O3,1600,Cubic perovskite,19.1,97500,,-64,515
Li 2Zn 3Ti 4O12+1.5 wt% Li 2O-ZnO-B2O3 glass,900,Cubic P4 232,19.1,63800,9,-49,516
Pb 2MoO5,610,Monoclinic,19.1,21960,7.46,-60,517
(Na0.5 Bi 0.5 ) 0.5 Ca0.5MoO4,775,Tetragonal scheelite,19.1,22700,,-10,309
(BaxMg1-x)(Zr 0.05 Ti 0.95 )O3 x=0.01,1210,Ilmenite type trigonal,19.1,180000,,-38,512
(BaxMg1-x)(Zr 0.05 Ti 0.95 )O3 x=0.03,1210,Ilmenite type Trigonal,19.2,156000,,-35,512
"85 wt% ZnNb 2O6- TiO2+15 wt% (CaO- B2O3-
SiO 2)",875,Composite,19.2,11000,,17,23
CaO-Sm2O3-Al 2 O3,1425,Composite,19.2,120000,,-10,518
0.76Li 2TiO3-0.24MgO,1250,Rocksalt monoclinic C2c,19.2,106220,,4,519
1-xCeO2-xLa2O3 (x=0.25),1650,Cubic flurite Fm3m,19.2,14700,,-64,365
(Mg0.95 Co 0.05 ) 2TiO4 -0.08(Ca0.8 Sr0.2 )TiO 3,,Composite,19.2,123200,9.2,3,520
Nd(Mg0.45 Co 0.05 Sn 0.5 )O3,1550,Perovskite,19.2,68900,,-67,521
Bi(Sb 1-xTa x)O4 (x=0.05),960,Monoclinic I2/c,19.2,60000,,-55,522
YbTiTaO6,1560,Euxenite orthorhombic Pbcn,19.3,31800,6.2,-41,523
CaTe2 O5,780,Monoclinic,19.3,13400,10,,200
BiSbO4,1080,Monoclinic I2/c,19.3,70000,,-62,524
Nd(Mg0.5 Sn 0.5 )O3,1550,Perovskite,19.3,43300,,-57,525
MgTi 2O5+ 10 wt% LBS glass,950,Composite,19.3,6800,,-16,152
Ba(Co 1/2 W1/2 )O3,1390,Perovskite cubic Fm3m,19.3,21000,7.76,-55,472
TeO2,640,Tetragonal P4 12 12,19.3,30000,4,-119,526
Zn 2Te3O8 +4 wt% TiO 2,650,Monoclinic C2/c,19.3,27000,5.14,-9,418
LaNbO4,1250,Fergusonite Monoclinic I2/a,19.3,54400,,9,326
Y(Ti 1/2 W1/2 )O4,1425,Tetragonal Scheelite,19.3,6200,,-19,356
0.4Li 2Zn 3Ti 4O12-0.6Li 2TiO3,1240,Composite,19.3,28000,,-31,425
Nd 2.9/3 Ca0.05 (Mg0.5Sn 0.5 )O3,1550,Cubic,19.3,99000,,-65,527
(Ba0.05 Mg0.95 )(Zr 0.05 Ti 0.95 )O3,1210,Ilmenite type,19.3,132000,,-32,512
La(Mg0.5 Sn 0.5 )O3+2 wt% ZBS glass,1400,Cubic,19.4,35800,,-86,529
(Ca1+xSm1-x)(Al 1-xTi x)O4 x=0.06,1500,"K2NiF 4
I4/mmm",19.4,120700,,-9,496
(Nd 0.99 Sr 0.015 ) 1.02 Nb 0.988 O4,1250,Monoclinic fergusonite I2/a,19.4,33100,,-30,511
Li 2Zn 3Ti 4O12+1.5 wt% BCB,900,Cubic Fd-3m,19.4,57600,,-40,495
0.94CaNb 2O6-0.06CaTiO 3,1300,Composite,19.5,69500,,-65,487
Ca(La1/2 Ta1/2 )O3,1500,Perovskite Monoclinic P2 1/n,19.5,30000,9.8,-41,530
CoTiO 3,1375,Trigonal R-3 Ilmenite,19.5,62500,,-49,460
Sm2BaZnO5,1320,Orthorhombic Pmna,19.5,35500,-6.4,,359
ZnTiO 3+0.25 wt% V 2O5,900,Trigonal R-3,19.5,2700,7.4,,531
"90 wt% ZnNb 2O6- TiO2+10 wt% (SiO 2- B2O3—
Al 2O3)",900,Composite,19.5,9200,,18,23
"90 wt% (Mg,Ca)TiO 3+10 wt% Li 2O-B2O 3-SiO 2",950,composite,19.5,26700,,-12,532
Ca1+xNd 1-xAl 1-xO4 (x=0.15),,Tetragonal I4/mmm,19.5,93400,,-2,533
Nd(Mg0.4 Zn 0.1 Sn 0.5 )O3,1500,Perovskite,19.5,129200,,-66,534
(Zn 0.95Ni 0.05 ) 2TiO4,1180,Cubic Fd3m,19.5,2200,7.3,,461
LaNbO4+3 wt% CuO,950,Monoclinic fergusonite I2/a,19.5,49000,,1,535
Li 2+xTi 1-4xNb 3xO3(x=0.07),1300,Monoclinic rock salt,19.5,84800,,-1,536
SrLaAlO 4 (co-precipitation PH=8),1425,Tetragonal I4/mmm,19.5,56500,,-33,537
Nd(Mg0.43 Ca0.07 Sn 0.5 )O3,1550,Perovskite,19.5,100400,,,538
(Li 0.5 Gd 0.5 )MoO4,750,Tetragonal Scheelite,19.5,3900,,209,421
PbO:B 2O3:SiO 2 (70:20:10) glass,,Glass,19.6,500,10.3,-155,81
NdNbO4,1250,Monoclinic fergusonite I2/a,19.6,33000,,-24,326
Sm2BaCuO5,,Orthorhombic Pnma,19.6,3400,11.36,-9,342
(Ca1+xSm1-x)(Al 1-xTi x)O4 x=0.1,1500,"K2NiF 4
I4/mmm",19.6,113700,,-6,496
(Mg0.95 Ca.05 )TiO 3+5 mol% B 2O3,1200,IlmeniteTrigonal R-3,19.6,86000,10,-3,419
0.92Ba(Mg1/2 W1/2 )O3- -0.08BaTiO 3,1500,Perovskite Cubic Fm3m,19.6,37000,,-19,334
Nd 0.5 La1.5 BaZnO5,,,19.6,16320,,-1,539
CaNb 2O6,1400,Columbite Pbcn,19.6,21500,,13,540
Ca(Sm1/2 Ta1/2 )O3,1500,Perovskite,19.6,26500,9.8,-24,530
CaTe2 O5,,,19.6,12600,,-89,393
LiYbW2O8,900,Monoclinic P2/n,19.7,8720,,45,43
Ba(Mg0.33 Ta0.33 Ti 0.167 W0.167 )O3,1580,Perovskite Trigonal R-3,19.7,58200,6.5,-11,388
(1-y)Li 3NbO4-yLi 2 TiO3(y=0.6),,Composite,19.7,91200,,24,363
La(Mg0.5 Sn 0.5 )O3+0.5 wt% B 2O3,1500,Perovskite,19.7,45000,,-85,541
Li 2TiO3 +1 wt% BaO-CuO,900,Monoclinic C2/c,19.7,46300,,31,348
La4 Ti 3O12,,Hexagonal,19.7,9950,,-10,542
(BaxMg1-x)(Zr 0.05 Ti 0.95 )O3 x=0.07,1210,Ilmennite type Trigonal,19.7,100000,,-31,512
Li 2TiO3,1230,Monoclinic C2/c,19.8,23600,,39,348
Zn 2Te3O8+30 wt% TiTe3O8,600,Composite,19.8,50000,,3,543
(1-y)Li 3NbO4-+yLi 2 TiO3 (y=0.6),,Composite,19.8,91200,,-24,363
Dy(Ti 1/2 W1/2 )O4,1425,Tetragonal Scheelite,19.9,6000,6.6,-5,356
MgNb 2O6 + 2 wt% CuO,1170,Columbite Orthorhombic Pbcn,19.9,110000,10,-44,544
