Material,er,Qf,f,Tcf,Single_Crystal_1,er1,Qf1,f1,Tcf1,Single_Crystal_2,er2,Qf2,f2,Tcf2,V1,V2,W1,W2,Ref
0.93MgTiO3-0.07CaTiO3SPSmethod,23,70000,,,MgTiO3,16.1,289400,,-54,CaTiO3,162,1290,1.5,859,0.93,0.07,,,
La2/3(Mg1/2W1/2)O3+2mol%TiO2,23.6,14800,,-10,La2/3(Mg1/2W1/2)O3,23.6,32500,,-43,TiO2,115,46000,,450,0.98,0.02,,,
(1-x)Li3Bi2P3O12-xTiO2(x=0.6),23.8,15300,,23,Li3Bi2P3O12,15.8,26600,,-130,TiO2,115,46000,,450,0.4,0.6,,,
CeO2:10mol%Sm2O3,21,86000,,-50,Sm2O3,23,46000,,22,CeO2,23,65000,,-55,0.1,0.9,,,469
CeO2:0mol%Sm2O3,23,65000,,-55,Sm2O3,23,46000,,22,CeO2,23,65000,,-55,0,1,,,469
CeO2:30mol%Sm2O3,19.7,85000,,-42,Sm2O3,23,46000,,22,CeO2,23,65000,,-55,0.3,0.7,,,469
CeO2:50mol%Sm2O3,18.3,90000,,-30,Sm2O3,23,46000,,22,CeO2,23,65000,,-55,0.5,0.5,,,469
CeO2:70mol%Sm2O3,19.9,74000,,-17,Sm2O3,23,46000,,22,CeO2,23,65000,,-55,0.7,0.3,,,469
CeO2:80mol%Sm2O3,20.7,56000,,-10,Sm2O3,23,46000,,22,CeO2,23,65000,,-55,0.8,0.2,,,469
CeO2:90mol%Sm2O3,19.6,45000,,-6,Sm2O3,23,46000,,22,CeO2,23,65000,,-55,0.9,0.1,,,469
CeO2:92mol%Sm2O3,20.2,40000,,0,Sm2O3,23,46000,,22,CeO2,23,65000,,-55,0.92,0.08,,,469
CeO2:100mol%Sm2O3,23,65000,,22,Sm2O3,23,46000,,22,CeO2,23,65000,,-55,1,0,,,469
0.20MgAl2O4-0.80TiO2,24.1,48900,5.5,11,MgAl2O4,8.5,105000,,-63,TiO2,115,46000,,450,0.2,0.8,,,
0.82BiSbO4-0.18Bi2Mo2O9,24.3,24000,,-4,BiSbO4,19.3,70000,,-62,Bi2Mo2O9,38,12500,,31,0.82,0.18,,,
0.5Mg4Nb2O9-0.5CaTiO3,24.8,82000,9.1,0,Mg4Nb2O9,8.5,50000,,,CaTiO3,162,1290,1.5,859,0.5,0.5,,,
0.9LaAlO3-0.1SrTiO3,25.1,128000,10,-51,LaAlO3,23.4,68000,10,-58,SrTiO3,270,3000,2,1500,0.9,0.1,,,
0.17Ba5Nb4O15-0.83BaNb2O6,25.2,59300,,0,BaNb2O6,17,2600,7.01,,Ba5Nb4O15,40,53000,,78,0.83,0.17,,,
0.5ZnAl2O4-0.5TiO2,25.2,277000,,177,ZnAl2O4,7.9,82000,,-63,TiO2,115,46000,,450,0.5,0.5,,,
TeO2+7.5wt%CaTiO3,25.3,10200,,-16,TeO2,19.3,30000,4,-119,CaTiO3,162,1290,1.5,859,0.913,0.087,,,
0.35(Al1/2Ta1/2)O2-0.65(Mg1/3Ta2/3)O2,26.1,112500,,0,(Al1/2Ta1/2)O2,8.7,60800,,-55,(Mg1/3Ta2/3)O2,27.1,95360,,51,0.35,0.65,,,193
0.8(Al1/2Ta1/2)O2-0.2(Mg1/3Ta2/3)O2,14,64000,,-40,(Al1/2Ta1/2)O2,8.7,60800,,-55,(Mg1/3Ta2/3)O2,27.1,95360,,51,0.8,0.2,,,193
0.6(Al1/2Ta1/2)O2-0.4(Mg1/3Ta2/3)O2,22.4,90000,,-18,(Al1/2Ta1/2)O2,8.7,60800,,-55,(Mg1/3Ta2/3)O2,27.1,95360,,51,0.6,0.4,,,193
0.4(Al1/2Ta1/2)O2-0.6(Mg1/3Ta2/3)O2,25.4,110000,,3.8,(Al1/2Ta1/2)O2,8.7,60800,,-55,(Mg1/3Ta2/3)O2,27.1,95360,,51,0.4,0.6,,,193
0.9Li2ZnTi3O8-0.1TiO2,26.1,44500,,-1,Li2ZnTi3O8,25.6,72000,,-11,TiO2,115,46000,,450,0.9,0.1,,,
TeO2+17.5wt%SrTiO3,26.2,12000,,16,TeO2,19.3,30000,4,-119,SrTiO3,270,3000,2,1500,0.844,0.156,,,
0.2(Al1/2Ta1/2)O2-0.8(Mg1/3Ta2/3)O2,26.5,103190,,25,(Al1/2Ta1/2)O2,8.7,60800,,-55,(Mg1/3Ta2/3)O2,27.1,95360,,51,0.2,0.8,,,
(1-x)La(Mg1/2Ti1/2)O3-xLa2/3TiO3(x=0.1),26.5,30580,8.3,,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,La2/3TiO3,65,15700,,,0.9,0.1,,,
TeO2+15wt%SrTiO3,26.6,12400,,-4,TeO2,19.3,30000,4,-119,SrTiO3,270,3000,2,1500,0.867,0.133,,,
0.8LaAlO3-0.2SrTiO3,26.7,139000,10,-50,LaAlO3,23.4,68000,10,-58,SrTiO3,270,3000,2,1500,0.8,0.2,,,
0.6LaAlO3-0.4SrTiO3,32,120000,10,-37,LaAlO3,23.4,68000,10,-58,SrTiO3,270,3000,2,1500,0.6,0.4,,,
0.5LaAlO3-0.5SrTiO3,36,108000,10,-20,LaAlO3,23.4,68000,10,-58,SrTiO3,270,3000,2,1500,0.5,0.5,,,
0.3LaAlO3-0.7SrTiO3,53,28000,10,58,LaAlO3,23.4,68000,10,-58,SrTiO3,270,3000,2,1500,0.3,0.7,,,
TeO2+20wt%SrTiO3,26.7,11400,,31,TeO2,19.3,30000,4,-119,SrTiO3,270,3000,2,1500,0.821,0.179,,,
0.7Ba(Mg1/3Ta2/3)O3-0.3Ba(Co1/3Nb2/3)O3,27,172700,,-1.3,Ba(Mg1/3Ta2/3)O3,24,430000,10,5,Ba(Co1/3Nb2/3)O3,32,78000,,-12,0.7,0.3,,,829
0.4Ba(Mg1/3Ta2/3)O3-0.6Ba(Co1/3Nb2/3)O3,31,109757,,-3.8,Ba(Mg1/3Ta2/3)O3,24,430000,10,5,Ba(Co1/3Nb2/3)O3,32,78000,,-12,0.4,0.6,,,829
TeO2+10wt%SrTiO3,27.5,13100,,-46,TeO2,19.3,30000,4,-119,SrTiO3,270,3000,2,1500,0.9118,0.08812,,,
(1-x)La(Mg1/2Ti1/2)O3-xLa2/3TiO3(x=0.2),27.5,16600,7.89,,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,La2/3TiO3,65,15700,,,0.8,0.2,,,
ZnTiO3-0.25TiO2,27.5,14000,,-20,ZnTiO3,19,30000,10,-55,TiO2,115,46000,,450,0.75,0.25,,,
Li2ZnTi3O8+2wt%Bi2O3,27.8,36400,,,Li2ZnTi3O8,25.6,72000,,-11,Bi2O3,33.5,18700,8.7,-235,0.985,0.015,,,
Ca(Yb1/2Ta1/2)O3+4mol%CaTiO3,28,41000,,-2,Ca(Yb1/2Ta1/2)O3,21.2,24000,9.6,-38,CaTiO3,162,1290,1.5,859,0.96,0.04,,,
ZnZrNb2O8+3wt%BaCu(B2O5),28.4,56700,,-53,BaCu(B2O5),7.3,50000,,-32,ZnZrNb2O8,30,61000,,-52,0.046,0.954,,,
TeO2+10wt%CaTiO3,28.7,15600,,-3,TeO2,19.3,30000,4,-119,CaTiO3,162,1290,1.5,859,0.8846,0.1154,,,
0.7LaAlO3-0.3SrTiO3,28.9,120000,9.9,-44,LaAlO3,23.4,68000,10,-58,SrTiO3,270,3000,2,1500,0.7,0.3,,,
CeO2+0.06CaTiO3,29,25000,,0,CeO2,23,65000,,-55,CaTiO3,162,1290,1.5,859,0.94,0.06,,,
0.9Nd(Co1/2Ti1/2)O3-0.1SrTiO3,29.3,80900,,0,Nd(Co1/2Ti1/2)O3,27,140000,9,-46,SrTiO3,270,3000,2,1500,0.9,0.1,,,
(1-x)La(Mg1/2Ti1/2)O3-xLa2/3TiO3(x=0.3),29.3,6500,8.3,,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,La2/3TiO3,65,15700,,123,0.7,0.3,,,
0.8(Al1/2Ta1/2)O2-0.2TiO2,29.4,75470,,0,(Al1/2Ta1/2)O2,8.7,60800,,-55,TiO2,115,46000,,450,0.8,0.2,,,
0.78ZnNb2O6-0.22TiO2,29.6,27700,,22,ZnNb2O6,21.5,84500,6.3,-75,TiO2,115,46000,,450,0.78,0.22,,,
0.23BaWO4-0.77Ba5Nb4O15,29.7,44600,,28,BaWO4,8.1,56000,,-55,Ba5Nb4O15,40,53000,,78,0.23,0.77,,,
0.9La(Mg1/2Ti1/2)O3-0.1CaTiO3,29.8,16700,6.9,-70,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,CaTiO3,162,1290,1.5,859,0.9,0.1,,,
(1-x)CaTiO3-xSm(Mg1/2Ti1/2)O3(x=0.8),30,13000,,-20,Sm(Mg1/2Ti1/2)O3,25,65500,10,-26,CaTiO3,162,1290,1.5,859,0.8,0.2,,,
TeO2+15wt%CaTiO3,30.1,21400,,29,TeO2,19.3,30000,4,-119,CaTiO3,162,1290,1.5,859,0.8284,0.1716,,,
LiBiW2O8+30mol%TiO2,30.2,13000,,-9,LiBiW2O8,26.5,16400,,70,TiO2,115,46000,,450,0.7,0.3,,,
Sr(Yb1/2Nb1/2)O3+0.5wt%CeO2,30.7,26600,,-73,CeO2,23,65000,,-55,Sr(Yb1/2Nb1/2)O3,29.4,50000,8.1,-72,,,,,
0.8Li2ZnTi3O8-0.2TiO2,30.9,56100,,29,Li2ZnTi3O8,25.6,72000,,-11,TiO2,115,46000,,450,0.8,0.2,,,
TeO2+12.5wt%CaTiO3,31.2,14800,,18,TeO2,19.3,30000,4,-119,CaTiO3,162,1290,1.5,859,0.8564,0.1436,,,
0.75(Al1/2Ta1/2)O2-0.25TiO2,31.2,54600,,13,(Al1/2Ta1/2)O2,8.7,60800,,-55,TiO2,115,46000,,450,0.75,0.25,,,
0.9Ba(Zn1/3Ta2/3)O3-0.1BaTi4O9,31.5,68500,6,4,BaTi4O9,36,50500,10.3,16,Ba(Zn1/3Ta2/3)O3,28,168000,,1,0.1,0.9,,,945
0.75Ba(Zn1/3Ta2/3)O3-0.25BaTi4O9,31.7,58000,11,5.2,BaTi4O9,36,50500,10.3,16,Ba(Zn1/3Ta2/3)O3,28,168000,,1,0.25,0.75,,,945
0.6Ba(Zn1/3Ta2/3)O3-0.4BaTi4O9,33.1,48500,11,6.3,BaTi4O9,36,50500,10.3,16,Ba(Zn1/3Ta2/3)O3,28,168000,,1,0.4,0.6,,,945
0.45Ba(Zn1/3Ta2/3)O3-0.55BaTi4O9,34,40800,11,8.1,BaTi4O9,36,50500,10.3,16,Ba(Zn1/3Ta2/3)O3,28,168000,,1,0.55,0.45,,,945
0.3Ba(Zn1/3Ta2/3)O3-0.7BaTi4O9,35,37800,11,10.7,BaTi4O9,36,50500,10.3,16,Ba(Zn1/3Ta2/3)O3,28,168000,,1,0.7,0.3,,,945
0.15Ba(Zn1/3Ta2/3)O3-0.85BaTi4O9,37,33000,11,14,BaTi4O9,36,50500,10.3,16,Ba(Zn1/3Ta2/3)O3,28,168000,,1,0.7,0.3,,,945
Sr(Sm1/2Ta1/2)O3+0.2wt%TiO2,32,46400,,-46,Sr(Sm1/2Ta1/2)O3,27.7,59000,8.5,-63,TiO2,115,46000,,450,,,,,
Sr(Er1/2Nb1/2)O3+0.5wt%CeO2,32.2,36100,,-67,CeO2,23,65000,,-55,Sr(Er1/2Nb1/2)O3,32,36100,,-67,,,,,
Sr(Y1/2Nb1/2)O3+0.5wt%CeO2,32.2,38850,,-66,CeO2,23,65000,,-55,Sr(Y1/2Nb1/2)O3,32,38800,,-66,,,,,
Sr(Ho1/2Nb1/2)O3+0.5wt%CeO2,32.3,20400,,-65,CeO2,23,65000,,-55,Sr(Ho1/2Nb1/2)O3,32,20400,,-65,,,,,
Sr(Dy1/2Nb1/2)O3+0.5wt%CeO2,33,32700,,-63,CeO2,23,65000,,-55,Sr(Dy1/2Nb1/2)O3,33,32700,,-63,,,,,
(1-x)La(Mg1/2Ti1/2)O3-xLa2/3TiO3(x=0.37),33.2,8560,8.3,,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,La2/3TiO3,65,15700,,123,0.63,0.37,,,
Sr(Tb1/2Nb1/2)O3+0.5wt%CeO2,33.7,36300,,-61,CeO2,23,65000,,-55,Sr(Tb1/2Nb1/2)O3,34,36300,,-61,,,,,
0.99Ba(Co1/3Nb2/3)O3-0.01Ba(Y1/2Nb1/2)O3,34,38690,,,Ba(Co1/3Nb2/3)O3,32,78000,,-12,Ba(Y1/2Nb1/2)O3,37,49600,,15,0.99,0.01,,,
0.95Ba(Yb1/2Nb1/2)O3-0.05Ca(Y1/2Nb1/2)O3,34,47500,,1,Ba(Yb1/2Nb1/2)O3,30,16500,8.7,118,Ca(Y1/2Nb1/2)O3,31,35000,,-13,0.95,0.05,,,
0.7BaTi4O9-0.3BaZn2Ti4O11,34.2,60600,,-2,BaTi4O9,36,50500,10.3,16,BaZn2Ti4O11,30,68000,,-30,0.7,0.3,,,
0.5ZnNb2O6-0.5TiO2,34.3,42500,,-52,ZnNb2O6,21.5,84500,6.3,-75,TiO2,115,46000,,450,0.5,0.5,,,
Sr(Gd1/2Nb1/2)O3+0.5wt%CeO2,34.3,8800,,-56,CeO2,23,65000,,-55,Sr(Gd1/2Nb1/2)O3,34,8800,,-56,,,,,
0.5La2/3TiO3-0.5LaAlO3,34.4,45000,6.7,-23,LaAlO3,23.4,68000,10,-58,La2/3TiO3,65,15700,,123,0.5,0.5,,,
0.5CeO2-0.5BaTi4O9,34.5,20050,4.2,2,BaTi4O9,36,50500,10.3,16,CeO2,23,65000,,-55,0.5,0.5,,,
Sr(Eu1/2Nb1/2)O3+0.5wt%CeO2,34.7,44000,,-52,CeO2,23,65000,,-55,Sr(Eu1/2Nb1/2)O3,35,44000,,-52,,,,,
0.5LaAlO3-0.5SrTiO3,35,27000,,-18,LaAlO3,23.4,68000,10,-58,SrTiO3,270,3000,2,1500,0.5,0.5,,,
0.42Zn3Nb2O8-0.58TiO2,35,48000,,0,Zn3Nb2O8,21,83300,,-71,TiO2,115,46000,,450,0.42,0.58,,,
(1-x)La(Mg1/2Ti1/2)O3-xLa2/3TiO3(x=0.4),35.1,6700,7.9,,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,La2/3TiO3,65,15700,,123,0.6,0.4,,,
0.17Ba5Nb4O15-0.83BaNb2O6(hex),35.2,59300,,0,BaNb2O6,17,2600,7.01,,Ba5Nb4O15,40,53000,,78,0.83,0.17,,,
0.25Zn3Nb2O8-0.75TiO2,36,5160,,4,Zn3Nb2O8,21,83300,,-71,TiO2,115,46000,,450,0.25,0.75,,,
0.2CaTiO3-0.8Ca(Mg1/3Nb2/3)O3,36,39000,7.7,-30,Ca(Mg1/3Nb2/3)O3,28,58000,,-48,CaTiO3,162,1290,1.5,859,0.8,0.2,,,
Sr(Nd1/2Nb1/2)O3+0.5wt%CeO2,36.9,20100,,-40,CeO2,23,65000,,-55,Sr(Nd1/2Nb1/2)O3,37,20100,,-40,,,,,
0.9Ba(Co1/3Nb2/3)O3-0.1Ba(Y1/2Nb1/2)O3,37,25560,,,Ba(Co1/3Nb2/3)O3,32,78000,,-12,Ba(Y1/2Nb1/2)O3,37,49600,,15,0.9,0.1,,,
0.35CaTiO3-0.65LaAlO3,37,47000,,-2,LaAlO3,23.4,68000,10,-58,CaTiO3,162,1290,1.5,859,0.65,0.35,,,
0.6Sm(Co1/2Ti1/2)O3-0.4CaTiO3,37,43000,,1,Sm(Co1/2Ti1/2)O3,25.5,76000,10,-16,CaTiO3,162,1290,1.5,859,0.6,0.4,,,
0.6CaTiO3-0.4NdAlO3,37.2,40750,,114,NdAlO3,22,58000,,-35,CaTiO3,162,1290,1.5,859,0.4,0.6,,,
0.7La(Mg1/2Ti1/2)O3-0.3CaTiO3,37.2,15300,6.3,-54,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,CaTiO3,162,1290,1.5,859,0.7,0.3,,,
0.6Li2ZnTi3O8-0.4TiO2,37.3,11700,,102,Li2ZnTi3O8,25.6,72000,,-11,TiO2,115,46000,,450,0.6,0.4,,,
Ca5Ta2TiO12+0.5wt%MgO,38,40000,,6,MgO,7.9,113600,16.4,-51,Ca5Ta2TiO12,38,33000,4.2,10,0.09,0.91,,,
0.7La(Mg1/2Ti1/2)O3-0.3SrTiO3,38.3,10550,6.6,,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,SrTiO3,270,3000,2,1500,0.7,0.3,,,
Ca5Ta2TiO12+0.5wt%Al2O3,38.6,36000,,6,Al2O3,10,634000,14,-40,Ca5Ta2TiO12,38,33000,4.2,10,0.038,0.962,,,
Ca5Ta2TiO12+0.1wt%SiO2,39,35000,5,9,SiO2,3.8,80400,,-16,Ca5Ta2TiO12,38,33000,4.2,10,0.013,0.987,,,
0.6La2/3TiO3-0.4LaAlO3,39.6,42200,6,-15,LaAlO3,23.4,68000,10,-58,La2/3TiO3,65,15700,,123,0.4,0.6,,,
(1-x)La(Mg1/2Ti1/2)O3-xLa2/3TiO3(x=0.45),39.7,5800,7.6,,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,La2/3TiO3,65,15700,,123,0.55,0.45,,,
0.7Ca(Mg1/3Nb2/3)O3-0.3CaTiO3,40,27900,3.8,-15,Ca(Mg1/3Nb2/3)O3,28,58000,,-48,CaTiO3,162,1290,1.5,859,0.7,0.3,,,
0.6La2/3TiO3-0.4LaAlO3(oxygen),40,50800,6,-15,LaAlO3,23.4,68000,10,-58,La2/3TiO3,65,15700,,123,0.4,0.6,,,
Ba5Nb4O15+1.5wt%BaCu(B2O5),40.2,28600,,60,BaCu(B2O5),7.3,50000,,-32,Ba5Nb4O15,40,53000,,78,0.06,0.94,,,
0.65CaTiO3-0.35SmAlO3,41,42000,,-18,SmAlO3,20.4,65000,10,-74,CaTiO3,162,1290,1.5,859,0.35,0.65,,,
0.65CaTiO3-0.35LaAlO3,41,33000,,-17,LaAlO3,23.4,68000,10,-58,CaTiO3,162,1290,1.5,859,0.35,0.65,,,
CaTi0.4(Al1/2Nb1/2).6O3+1wt%Li3NbO4,41.1,36200,7,-36,Li3NbO4,15.8,55000,,-49,CaTi0.4(Al1/2Nb1/2).6O3,41.3,27100,7,-44,,,,,
0.67CaTiO3-0.33NdAlO3,42,42900,,45,NdAlO3,22,58000,,-35,CaTiO3,162,1290,1.5,859,0.33,0.67,,,
0.1CaTiO3-0.9Nd(Mg1/2Ti1/2)O3,42,35000,,-10,Nd(Mg1/2Ti1/2)O3,23,36900,10,-49,CaTiO3,162,1290,1.5,859,0.9,0.1,,,
Sr(Sm1/2Ta1/2)O3+3wt%TiO2,42,8800,,3,Sr(Sm1/2Ta1/2)O3,27.7,59000,8.5,-63,TiO2,115,46000,,450,,,,,
0.36Ca4La2Ti5O17-0.64LaAlO3,42,12500,,0,LaAlO3,23.4,68000,10,-58,Ca4La2Ti5O17,73,16000,3.3,127,0.64,0.36,,,
0.4LaAlO3-0.6SrTiO3,42.1,83000,9.5,8,LaAlO3,23.4,68000,10,-58,SrTiO3,270,3000,2,1500,0.4,0.6,,,
0.7CaTiO3-0.3NdAlO3,45,44000,,3,NdAlO3,22,58000,,-35,CaTiO3,162,1290,1.5,859,0.3,0.7,,,
0.5La(Mg1/2Ti1/2)O3-0.5CaTiO3,43,28000,5.5,-13,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,CaTiO3,162,1290,1.5,859,0.5,0.5,,,
ZrTiO4-ZnNb2O6,44,48000,,0,ZnNb2O6,21.5,84500,6.3,-75,ZrTiO4,42,31000,7,58,0.5,0.5,,,
0.66CaTiO3-0.34LaAlO3,44,30000,,-3,LaAlO3,23.4,68000,10,-58,CaTiO3,162,1290,1.5,859,0.34,0.66,,,
0.6CaTiO3-0.4NdGaO3,44,30000,,-18,NdGaO3,22,85000,,,CaTiO3,162,1290,1.5,859,0.4,0.6,,,
0.7La2/3TiO3-0.3LaAlO3,44.9,33000,6,7,LaAlO3,23.4,68000,10,-58,La2/3TiO3,65,15700,,123,0.3,0.7,,,
NiNb2O6+30wt%TiO2,45,7700,6,73,NiNb2O6,21,19300,6.5,-71,TiO2,115,46000,,450,0.3537,0.6463,,,
0.73CaTiO3-0.27NdAlO3,45,31000,,-15,NdAlO3,22,58000,,-35,CaTiO3,162,1290,1.5,859,0.27,0.73,,,
0.58ZnNb2O6-0.42TiO2,45,6000,,0,ZnNb2O6,21.5,84500,6.3,-75,TiO2,115,46000,,450,0.58,0.42,,,
0.42ZnNb2O6-0.58TiO2,45,48000,8,0,ZnNb2O6,21.5,84500,6.3,-75,TiO2,115,46000,,450,0.42,0.58,,,
0.45Nd3Ga5O12-0.65CaTiO3,45,46000,5,-2,Nd3Ga5O12,12.4,137800,13.8,-33,CaTiO3,162,1290,1.5,859,0.35,0.65,,,
0.7CaTiO3-0.3SmAlO3,45,42000,,1,SmAlO3,20.4,65000,10,-74,CaTiO3,162,1290,1.5,859,0.3,0.7,,,
0.6CaTiO3-0.4LaGaO3,45,34000,,-20,LaGaO3,27,97000,5,-80,CaTiO3,162,1290,1.5,859,0.4,0.6,,,
0.7CaTiO3-0.3NdAlO3,45,44000,,0,NdAlO3,22,58000,,-35,CaTiO3,162,1290,1.5,859,0.7,0.3,,,
0.65CaTiO3-0.35NdGaO3,45,46000,,-2,NdGaO3,22,85000,,,CaTiO3,162,1290,1.5,859,0.35,0.65,,,
0.71CaTiO3-0.29NdAlO3,45.1,38450,,6,NdAlO3,22,58000,,-35,CaTiO3,162,1290,1.5,859,0.29,0.71,,,
(1-x)Ca(Mg1/3Ta2/3)O3-xCaTiO3(x=0.45),45.1,34800,,17,Ca(Mg1/3Ta2/3)O3,21,78000,,-61,CaTiO3,162,1290,1.5,859,0.55,0.45,,,
0.3SrTiO3-0.7Ca(Mg1/3Nb2/3)O3,46,29300,6.8,2,Ca(Mg1/3Nb2/3)O3,28,58000,,-48,SrTiO3,270,3000,2,1500,0.7,0.3,,,
0.65LiNb3O8-0.35TiO2,46.2,5800,,0,LiNb3O8,24,58000,,-96,TiO2,115,46000,,450,0.65,0.35,,,
0.4ZnNb2O6-0.6TiO2,46.2,48000,,-1,ZnNb2O6,21.5,84500,6.3,-75,TiO2,115,46000,,450,0.4,0.6,,,
0.5ZnTa2O6-0.5TiO2,46.2,36700,,74,ZnTa2O6,30.3,87580,,9.5,TiO2,115,46000,,450,0.5,0.5,,,
0.55La(Mg1/2Ti1/2)O3-0.45SrTiO3,46.3,34000,8,0,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,SrTiO3,270,3000,2,1500,0.55,0.45,,,
0.64CaTiO3-0.36LaGaO3,46.5,48000,8,-3,LaGaO3,27,97000,5,-80,CaTiO3,162,1290,1.5,859,0.36,0.64,,,
(1-x)La(Mg1/2Ti1/2)O3-xLa2/3TiO3(x=0.49),46.5,8300,6.2,,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,La2/3TiO3,65,15700,,123,0.51,0.49,,,
0.75CaTiO3-0.25LaAlO3,47,36000,,13,LaAlO3,23.4,68000,10,-58,CaTiO3,162,1290,1.5,859,0.25,0.75,,,
0.65CaTiO3-0.35LaGaO3,47,40000,,0,LaGaO3,27,97000,5,-80,CaTiO3,162,1290,1.5,859,0.35,0.65,,,
0.66CaTiO3-0.34LaGaO3,47.5,46000,,4,LaGaO3,27,97000,5,-80,CaTiO3,162,1290,1.5,859,0.34,0.66,,,
Ca5Nb2TiO12+0.5wt%MgO,47.5,33000,,34,MgO,7.9,113600,16.4,-51,Ca5Nb2TiO12,48,26600,3.7,40,,,,,
0.34CaTiO3-0.66Ca(Mg1/3Nb2/3)O3,48,32500,,-2,Ca(Mg1/3Nb2/3)O3,28,58000,,-48,CaTiO3,162,1290,1.5,859,0.66,0.34,,,
CaTi0.5(Al1/2Nb1/2).5O3+1wt%Li3NbO4,48,32100,7,-2,Li3NbO4,15.8,55000,,-49,CaTi0.5(Al1/2Nb1/2).5O3,48,26100,7,-4,,,,,
0.5La(Mg1/2Ti1/2)O3-0.5SrTiO3,48.1,5800,6.6,,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,SrTiO3,270,3000,2,1500,0.5,0.5,,,
Ca5Nb2TiO12+1wt%Al2O3,48.7,29000,,33,Al2O3,10,634000,14,-40,Ca5Nb2TiO12,48,26600,3.7,40,0.058,0.942,,,
0.7CaTiO3-0.3NdGaO3,49,32000,,35,NdGaO3,22,85000,,,CaTiO3,162,1290,1.5,859,0.3,0.7,,,
0.7CaTiO3-0.3LaGaO3,49.4,29000,8,22,LaGaO3,27,97000,5,-80,CaTiO3,162,1290,1.5,859,0.3,0.7,,,
0.5La(Mg1/2Ti1/2)O3-0.5La2/3TiO3,50,10000,,5,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,La2/3TiO3,65,15700,,123,0.5,0.5,,,
0.5CaTiO3-0.5La(Zn1/2Ti1/2)O3,50,38000,7,0,La(Zn1/2Ti1/2)O3,34,59000,10,-52,CaTiO3,162,1290,1.5,859,0.5,0.5,,,
NiNb2O6+40wt%TiO2,50,5700,6,99,NiNb2O6,21,19300,6.5,-71,TiO2,115,46000,,450,0.26,0.74,,,
0.75CaTiO3-0.25SmAlO3,51,31000,,31,SmAlO3,20.4,65000,10,-74,CaTiO3,162,1290,1.5,859,0.25,0.75,,,
0.3La(Mg1/2Ti1/2)O3-0.7CaTiO3,51.2,43800,5.8,,La(Mg1/2Ti1/2)O3,27.6,114300,7.1,-81,CaTiO3,162,1290,1.5,859,0.3,0.7,,,
TiFeNbO6+2wt%Bi2O3,51.3,1400,3.6,103,Bi2O3,33.5,18700,8.7,-235,TiFeNbO6,47.2,2300,3.68,281,0.013,0.987,,,
0.3LaAlO3-0.7SrTiO3,52,50800,9.3,56,LaAlO3,23.4,68000,10,-58,SrTiO3,270,3000,2,1500,0.3,0.7,,,
0.4(La1/2Na1/2)TiO3-0.6Ca(Mg1/3Nb2/3)O3,52.3,29700,6,2,Ca(Mg1/3Nb2/3)O3,28,58000,,-48,(La1/2Na1/2)TiO3,122,9800,3,480,0.6,0.4,,,
0.919TiO2-0.081Bi2O3,80,9000,5,21,Bi2O3,33.5,18700,8.7,-235,TiO2,115,46000,,450,0.081,0.919,,,
0.981TiO2-0.019Bi2O3,97.8,18500,5,354,Bi2O3,33.5,18700,8.7,-235,TiO2,115,46000,,450,0.019,0.981,,,
0.959TiO2-0.041Bi2O3,91.9,12500,5,240,Bi2O3,33.5,18700,8.7,-235,TiO2,115,46000,,450,0.041,0.959,,,
0.8La2/3TiO3-0.2LaAlO3,53.9,29000,5.4,35,LaAlO3,23.4,68000,10,-58,La2/3TiO3,65,15700,,123,0.2,0.8,,,
0.4CaTiO3-0.6Ca(Mg1/3Nb2/3)O3,54,32000,6.7,18,Ca(Mg1/3Nb2/3)O3,28,58000,,-48,CaTiO3,162,1290,1.5,859,0.6,0.4,,,
0.48Nd(Zn1/2Ti1/2)O3-0.52SrTiO3,54.2,84000,,0,Nd(Zn1/2Ti1/2)O3,31.6,170000,8.5,-42,SrTiO3,270,3000,2,1500,0.48,0.52,,,1329
0.8Nd(Zn1/2Ti1/2)O3-0.2SrTiO3,37,143000,,-31.8,Nd(Zn1/2Ti1/2)O3,31.6,170000,8.5,-42,SrTiO3,270,3000,2,1500,0.8,0.2,,,1329
0.6Nd(Zn1/2Ti1/2)O3-0.4SrTiO3,47.1,12000,,-21.4,Nd(Zn1/2Ti1/2)O3,31.6,170000,8.5,-42,SrTiO3,270,3000,2,1500,0.6,0.4,,,1329
